state,year,pctblack_prisonpop,pctblack_under10,pctblack_10plus,rri_statepop,rri_under10,rri_10plus,numwomen_under10,numwomen_10plus,pctwomen_10plus
AK,2005,0.10551181,0.10640067,0.089552239,2.9847174,3.0098612,2.5332532,188,7,0.035897437
AK,2006,0.10781671,0.10699756,0.12230216,3.0924585,3.0689631,3.5079381,188,6,0.030927835
AK,2007,0.10522303,0.10507391,0.10833333,3.0095954,3.0053303,3.0985565,227,4,0.017316017
AK,2008,0.10148148,0.10146605,0.10185185,2.9122918,2.911849,2.9229205,244,5,0.020080321
AK,2009,0.10383824,0.10397445,0.1,3.0264826,3.0304525,2.9146128,306,5,0.01607717
AK,2010,0.099082567,0.099504381,0.088235296,2.8627455,2.8749328,2.5493405,264,5,0.01858736
AK,2011,0.098459475,0.098960198,0.09137056,2.7690339,2.7831161,2.5696683,312,10,0.031055901
AK,2012,0.092752658,0.090465464,0.11046512,2.4535449,2.3930428,2.9220846,296,13,0.042071197
AK,2013,0.094679184,0.092016235,0.11209439,2.4298036,2.3614628,2.8767397,187,13,0.064999998
AL,2007,0.6105355,0.60359061,0.65653938,2.3239558,2.2975206,2.4990659,1754,39,0.021751255
AL,2008,0.61386609,0.60571116,0.66703385,2.3327291,2.3017399,2.5347698,1735,41,0.023085585
AL,2009,0.60852891,0.59906381,0.66923487,2.3120074,2.2760463,2.5426497,1813,46,0.024744486
AL,2010,0.60096085,0.58964545,0.66982341,2.2799122,2.236984,2.5411615,1828,49,0.026105488
AL,2011,0.59240282,0.57942557,0.66948521,2.243783,2.1946304,2.5357399,1826,51,0.027171018
AL,2012,0.5895828,0.57529539,0.6707114,2.2273393,2.1733639,2.5338287,1885,55,0.028350515
AL,2013,0.5870679,0.57156903,0.67106789,2.2095582,2.1512246,2.5257103,1880,63,0.032424085
AL,2014,0.58678484,0.5689345,0.67038989,2.2014537,2.1344843,2.5151167,1689,71,0.040340908
AZ,2000,0.14873432,0.14811061,0.15946844,4.5144525,4.4955215,4.8402596,1486,25,0.016545335
AZ,2001,0.14714536,0.14661893,0.15550756,4.3643956,4.3487816,4.612422,1730,30,0.017045455
AZ,2002,0.14212833,0.14131452,0.15433674,4.1203437,4.0967507,4.4742689,2009,39,0.019042969
AZ,2003,0.13684285,0.13583936,0.15219907,3.8832927,3.854816,4.319068,2378,41,0.016949153
AZ,2004,0.1327626,0.13142435,0.15234174,3.6575727,3.6207044,4.1969724,2544,45,0.017381229
AZ,2005,0.13112846,0.1295841,0.15314451,3.4962382,3.4550614,4.0832453,2691,48,0.017524645
AZ,2006,0.13449661,0.13256763,0.16265334,3.4413207,3.3919644,4.1617575,2946,57,0.018981019
AZ,2007,0.13341585,0.13127244,0.16426757,3.294668,3.2417369,4.0565429,3252,66,0.0198915
AZ,2008,0.1337588,0.131781,0.16149312,3.1879144,3.1407769,3.8489151,3547,68,0.018810512
AZ,2009,0.13374168,0.13141026,0.16561456,3.0894485,3.0355926,3.825716,3602,78,0.021195652
AZ,2010,0.13324012,0.1305625,0.16678129,3.0244105,2.9636312,3.7857597,3504,91,0.025312934
AZ,2011,0.1352267,0.13242489,0.16812724,3.0178719,2.9553437,3.7521176,3362,103,0.029725829
AZ,2012,0.13379188,0.13077414,0.16717885,2.9303527,2.8642571,3.6616049,3406,124,0.03512748
AZ,2013,0.13295387,0.12969238,0.16901408,2.8616374,2.7914386,3.6377807,3531,112,0.030743893
AZ,2014,0.13404657,0.13099572,0.1679367,2.8311138,2.7666788,3.5468862,3677,120,0.031603899
CA,2000,0.31205687,0.30741456,0.37701538,4.4472079,4.3810492,5.3729496,10217,379,0.035768215
CA,2001,0.30706632,0.30176941,0.37296417,4.4084744,4.332428,5.3545537,9151,409,0.042782426
CA,2002,0.30069575,0.29436314,0.37209302,4.3450451,4.2535391,5.3767338,9167,457,0.047485452
CA,2003,0.29553732,0.28842032,0.36877748,4.2998314,4.1962848,5.365417,9764,493,0.048064735
CA,2004,0.29237905,0.28408837,0.37054738,4.2770138,4.155735,5.420485,10323,537,0.049447514
CA,2005,0.2886793,0.27883026,0.36960468,4.2469749,4.1020784,5.4375281,10630,622,0.055279061
CA,2006,0.28969279,0.27848572,0.3688179,4.2811313,4.1155114,5.4504561,10856,699,0.060493294
CA,2007,0.29028952,0.27756783,0.36751926,4.3128834,4.1238747,5.460299,10564,769,0.067854933
CA,2008,0.29269117,0.2786614,0.36772329,4.3694649,4.1600204,5.4895883,10560,845,0.074090309
CA,2009,0.29218644,0.27675995,0.36569887,4.3730617,4.1421785,5.473299,9886,895,0.083016418
CA,2010,0.29157752,0.2749981,0.36282438,4.3769169,4.1280408,5.4464149,8863,946,0.096442044
CA,2011,0.29197243,0.27278832,0.36173275,4.4062738,4.1167588,5.4590554,7162,958,0.11798029
CA,2012,0.2952545,0.27338028,0.36133265,4.4781199,4.1463542,5.4803262,5167,974,0.1586061
CA,2013,0.28996128,0.26815417,0.35762981,4.4225616,4.0899539,5.4546585,5296,969,0.15466879
CA,2014,0.28863996,0.26671556,0.35524771,4.4153466,4.0799675,5.4342504,5208,951,0.15440819
CO,2000,0.23530819,0.23296845,0.26566416,5.8360319,5.7780027,6.5889101,1297,30,0.022607384
CO,2001,0.22950536,0.22663347,0.265674,5.6515169,5.5807972,6.542161,1345,33,0.023947751
CO,2002,0.2201668,0.21709993,0.25824964,5.3947306,5.3195834,6.3278718,1539,36,0.022857143
CO,2003,0.21358976,0.20991817,0.25742576,5.2581582,5.1677713,6.3373141,1709,38,0.021751573
CO,2004,0.20619321,0.20140049,0.25906119,5.0179882,4.901351,6.3046012,1870,45,0.023498695
CO,2005,0.19793805,0.19098833,0.27297744,4.8330102,4.6633205,6.6652303,2081,56,0.02620496
CO,2006,0.19577804,0.18867189,0.27173346,4.7254448,4.553925,6.5587611,2256,61,0.026327148
CO,2007,0.19638322,0.19034596,0.25938907,4.7237029,4.578486,6.2392139,2285,67,0.028486395
CO,2008,0.19728681,0.19167925,0.25538161,4.7048802,4.5711517,6.0903201,2242,70,0.030276816
CO,2009,0.19758454,0.19187425,0.25393796,4.6639519,4.5291615,5.9941659,2058,72,0.033802819
CO,2010,0.19374369,0.18726848,0.25208607,4.5217257,4.3706026,5.8833609,2004,77,0.037001442
CO,2011,0.19245231,0.18554647,0.24669074,4.4622293,4.3021097,5.71981,1954,84,0.04121688
CO,2012,0.19346049,0.18615513,0.24464355,4.4338074,4.2663798,5.606842,1666,78,0.04472477
CO,2013,0.18969072,0.18154779,0.24656998,4.3008208,4.1161976,5.5904326,1752,72,0.039473683
CO,2014,0.18568635,0.17645667,0.24733306,4.1557717,3.9492061,5.5354624,1671,71,0.040757749
DC,2007,0.96689719,0.9669826,0.96470588,1.7610842,1.7612398,1.757093,327,7,0.020958085
DC,2008,0.96734947,0.96737909,0.96666664,1.7999442,1.7999994,1.7986736,296,21,0.066246055
DC,2009,0.96636736,0.96615964,0.9708029,1.8404613,1.8400656,1.8489088,229,23,0.091269843
DC,2010,0.96581048,0.96602029,0.96253604,1.8792973,1.8797055,1.8729258,260,18,0.064748198
DC,2011,0.96654534,0.96498215,0.97399998,1.9093831,1.9062951,1.9241095,228,23,0.091633469
DC,2012,0.96700191,0.96681815,0.9676401,1.9371992,1.9368311,1.9384778,217,24,0.099585064
DC,2013,0.96531147,0.96412665,0.96893942,1.9522938,1.9498975,1.9596311,170,24,0.12371134
DE,2009,0.60933971,0.61647326,0.55333334,2.805196,2.8380365,2.5473616,216,4,0.018181818
DE,2010,0.60648036,0.60953718,0.583682,2.7694745,2.7834334,2.6653664,238,5,0.020576132
DE,2011,0.59170204,0.58891964,0.60759491,2.688216,2.675575,2.7604203,261,5,0.018796992
DE,2012,0.58151448,0.57701391,0.60677469,2.6332214,2.6128418,2.7476051,307,6,0.019169329
DE,2013,0.58052349,0.57417148,0.61473089,2.6181743,2.5895267,2.7724504,292,8,0.026666667
DE,2014,0.56663835,0.55485815,0.63100135,2.5423539,2.4894993,2.8311334,281,13,0.044217687
FL,2000,0.5413909,0.53923482,0.55936539,3.5614541,3.5472708,3.6796966,4083,150,0.035435863
FL,2001,0.53666544,0.53187501,0.57146049,3.4996223,3.4683836,3.7265224,4212,190,0.043162201
FL,2002,0.52877015,0.52294552,0.56906706,3.4232247,3.3855164,3.6841044,4487,205,0.043691389
