State,Year,LOS_Mean,LOS_MeanViolent,LOS_MeanAllExceptViol,LOS_MeanTop10,LOS_MeanBottom90,LOS_10plus_Pct,LOS_10plus_Num
AK,2005,2.7731075,4.0415773,1.5418026,12.481074,1.7273737,5.2755909,134
AK,2006,2.834269,4.2174459,1.535423,12.367107,1.7918059,5.3523293,139
AK,2007,2.739217,4.1733756,1.4324914,13.218789,1.8319137,4.5749145,120
AK,2008,2.6987796,4.2317214,1.340874,11.861976,1.6973786,4,108
AK,2009,2.6499393,4.2173567,1.2870167,11.96268,1.6536598,3.4270048,100
AK,2010,2.9530368,4.5385232,1.4231389,12.700868,1.972742,3.7431192,102
AK,2011,2.8211663,4.4242392,1.2896911,12.457306,1.7806778,6.597455,197
AK,2012,2.9298007,4.4616246,1.351281,13.150345,1.9260305,11.436171,344
AK,2013,3.4888809,5.1394939,1.5588547,13.690099,2.4171576,13.262911,339
AL,2007,4.0079017,6.1448197,1.9610138,17.436127,2.5296428,13.116248,3456
AL,2008,4.0215759,6.08564,1.9722761,17.637064,2.5243652,13.298418,3631
AL,2009,4.1255069,6.2243042,1.9932004,18.012295,2.6012464,13.488622,3764
AL,2010,4.4026403,6.51578,2.1383367,18.636225,2.8473661,14.112845,3907
AL,2011,4.6163816,6.9054704,2.1985936,19.066044,3.0124614,14.409605,4021
AL,2012,4.8764133,7.3492923,2.3041377,19.765173,3.2370894,14.973815,4203
AL,2013,5.1497412,7.7345433,2.4005744,20.434721,3.4646094,15.576964,4317
AL,2014,5.4742675,7.9541898,2.5830832,21.176794,3.7380919,17.594275,4745
AZ,2000,2.930033,4.2917747,1.9531075,11.386836,1.9915785,5.4914484,1204
AZ,2001,2.9346442,4.3938751,1.901588,11.79622,1.9608815,5.9224834,1389
AZ,2002,2.9074302,4.4688907,1.8246635,12.145383,1.8900741,6.2495017,1568
AZ,2003,2.8203323,4.4856477,1.7453754,12.240457,1.7807063,6.1339674,1728
AZ,2004,2.8618219,4.5587268,1.7902873,12.416639,1.8044465,6.3977609,1943
AZ,2005,2.9335706,4.7318397,1.8204418,12.847562,1.8569177,6.5548496,2083
AZ,2006,2.9179623,4.7725573,1.7975174,12.992422,1.8140635,6.4116755,2201
AZ,2007,2.9758885,4.8715134,1.834406,13.247843,1.8408346,6.4961491,2362
AZ,2008,3.0145898,4.9169221,1.8620919,13.480341,1.8582473,6.6565537,2545
AZ,2009,3.098412,4.9212995,1.9376496,13.778248,1.9127313,6.8161683,2693
AZ,2010,3.3076329,5.0873728,2.0818746,14.469317,2.0802193,7.3929071,2908
AZ,2011,3.4833729,5.3192329,2.1838639,14.952477,2.2165973,7.8476825,3081
AZ,2012,3.6253121,5.525548,2.2613883,15.444048,2.316021,8.2893896,3254
AZ,2013,3.6383319,5.5902505,2.2418468,15.65098,2.3187633,8.2943926,3337
AZ,2014,3.6507332,5.6664553,2.2269113,15.752546,2.3159888,8.2587023,3412
CA,1992,2.0194356,3.2212245,0.99180239,9.7369108,1.1718844,3.6807413,3948
CA,1993,2.0582833,3.3076553,1.0014973,10.11102,1.1806877,4.1353607,4849
CA,1994,2.161478,3.4812989,1.0439852,10.638623,1.2334766,4.6509356,5712
CA,1995,2.1921165,3.6367218,1.033486,10.983381,1.2276697,4.9279227,6543
CA,1996,2.2506878,3.7408412,1.08079,11.265776,1.2512056,5.1583085,7377
CA,1997,2.3153303,3.8467879,1.1187128,11.703857,1.2886845,5.3938899,8254
