State,Year,LOS_Mean,LOS_MeanViolent,LOS_MeanAllExceptViol,LOS_MeanTop10,LOS_MeanBottom90,LOS_10plus_Pct,LOS_10plus_Num
CA,1998,2.4599073,4.0343242,1.1955618,12.187611,1.3832432,5.7425895,9078
CA,1999,2.6652532,4.3005595,1.3003473,12.883911,1.5332116,6.1766438,9862
CA,2000,2.8759029,4.5763059,1.3924805,13.591656,1.6865209,6.6699176,10668
CA,2001,3.1443236,4.8674812,1.5142398,14.513883,1.8932914,7.4400506,11666
CA,2002,3.3160069,5.0772734,1.5751237,15.109303,2.0064354,8.1469536,12986
CA,2003,3.4933522,5.354466,1.6198623,15.824425,2.1345105,8.8567209,14323
CA,2004,3.6802781,5.6197782,1.6771216,16.574492,2.2720969,9.5891333,15693
CA,2005,3.8231783,5.8851223,1.6870848,17.200464,2.3582804,10.850008,18187
CA,2006,3.9647236,6.0949092,1.721107,17.751513,2.4339757,12.406525,21352
CA,2007,4.2062111,6.3580365,1.8230547,18.595663,2.6151404,14.142832,24279
CA,2008,4.4262686,6.5701113,1.9123316,19.431547,2.7728686,15.752846,27004
CA,2009,4.6986465,6.7829924,2.0542719,20.212339,2.9759002,17.345018,29311
CA,2010,5.0530534,7.0452003,2.2585459,21.161371,3.2794302,18.877491,30789
CA,2011,5.7669816,7.5558228,2.7850077,22.451637,3.9271235,21.568655,31949
CA,2012,6.6032467,7.9005775,3.6670063,23.80455,4.7081904,24.870508,33227
CA,2013,6.5840077,8.0216894,3.3085685,24.296984,4.635798,24.372118,32858
CA,2014,6.7552085,8.1581526,3.2966464,24.914717,4.7510862,24.764326,33205
CO,2000,3.0182292,4.4870534,1.8418095,12.459824,1.9773099,7.156095,1197
CO,2001,3.0908482,4.6681604,1.8378023,12.90665,2.0166662,7.356163,1276
CO,2002,3.1099763,4.7770896,1.8322558,13.157515,1.997826,7.4529514,1394
CO,2003,3.1835556,4.9046459,1.8672507,13.553759,2.0328126,7.7284088,1515
CO,2004,3.323705,5.1882286,1.9311531,14.127257,2.1330514,8.3119316,1683
CO,2005,3.3366292,5.3349009,1.9069428,14.443645,2.1144028,8.4763956,1817
CO,2006,3.34794,5.4501905,1.8857307,14.716331,2.0875351,8.5552683,1921
CO,2007,3.378149,5.5151734,1.8548177,15.158006,2.08759,8.7441978,1997
CO,2008,3.4409428,5.5543165,1.8955233,15.373567,2.1265056,8.8027563,2044
CO,2009,3.6305895,5.7067127,1.9895326,15.891139,2.2683063,9.2007027,2095
CO,2010,3.8514242,5.868453,2.1441982,16.473909,2.4504981,9.9899092,2277
CO,2011,4.1611061,6.118536,2.3117416,17.376259,2.7084827,11.294342,2493
CO,2012,4.3176708,6.2980599,2.270277,18.046873,2.7981393,12.490269,2567
CO,2013,4.2634683,6.3084402,2.1045458,18.44702,2.7012603,12.523319,2551
CO,2014,4.3938723,6.305809,2.1636629,18.993725,2.7888973,13.022226,2531
DC,2007,3.5898073,5.0223904,1.8045232,11.534842,2.7296243,3.7516553,255
DC,2008,3.9843624,5.4956064,1.9633859,12.485752,3.098078,4.1583242,270
DC,2009,4.3121605,5.8398404,2.091027,13.407774,3.3968787,4.4734693,274
DC,2010,4.4022951,5.9927397,2.0831225,13.55409,3.3936579,6.0222144,347
DC,2011,4.5376081,6.1927071,2.1087611,14.547798,3.5647655,17.334026,1000
DC,2012,4.8294163,6.4842715,2.2731955,15.065712,3.7446563,22.357508,1267
DC,2013,5.2766275,6.7828751,2.5959907,16.130253,4.1357889,24.61768,1320
DE,2009,4.2057352,6.462153,2.2822824,17.055756,2.7831314,11.298017,450
DE,2010,4.3153148,6.5331893,2.3476107,17.666546,2.8452864,11.822904,478
DE,2011,4.3328733,6.6373448,2.3138232,18.036224,2.8270106,14.898632,632
DE,2012,4.3837705,6.8527422,2.2867968,18.773516,2.9144199,15.122494,679
DE,2013,4.5592852,7.1494837,2.3149443,19.926128,3.1202745,15.661047,706
DE,2014,4.6565676,7.419693,2.3496339,19.341751,3.0371835,15.471138,729
FL,1996,4.0489364,5.1176658,2.8161824,15.500397,2.7801795,8.0030441,5363
FL,1997,4.1171274,5.2163358,2.7823172,16.067949,2.8141797,8.1235428,5434
FL,1998,4.1377831,5.3701301,2.6558435,16.24683,2.7955306,8.236681,5660
FL,1999,4.1107554,5.4934006,2.5095978,16.705166,2.739269,9.1460218,6457
FL,2000,4.0837898,5.6706276,2.3874316,16.976748,2.6548371,10.710517,7816
FL,2001,4.1646628,5.8610253,2.3825507,17.644201,2.700299,12.101558,8956
FL,2002,4.1865153,6.0018978,2.352458,17.981058,2.670258,12.628846,9679
FL,2003,4.1489415,6.0533695,2.2915657,18.242844,2.6014302,12.439955,10074
FL,2004,4.1942115,6.1790547,2.2881193,18.593885,2.6041605,12.298504,10338
FL,2005,4.2712111,6.2861738,2.3123574,19.005898,2.6392033,12.076511,10430
FL,2006,4.3179564,6.4715242,2.2882354,19.360853,2.6536899,12.138927,10943
FL,2007,4.331089,6.5590525,2.27933,19.600548,2.6457279,12.271153,11656
FL,2008,4.3561907,6.5981984,2.2964377,19.790365,2.6601315,12.473537,12432
FL,2009,4.4923682,6.7004614,2.4037061,20.126415,2.763387,13.010743,13237
FL,2010,4.6640892,6.8736153,2.5306571,20.645948,2.90311,13.71513,14120
FL,2011,4.8739543,7.1095071,2.6660991,21.228561,3.0712695,14.555608,14831
FL,2012,5.1044497,7.2776299,2.8419731,21.855555,3.2474873,15.457199,15562
FL,2013,5.2092671,7.4297667,2.8774829,22.319984,3.3083887,16.060711,16296
FL,2014,5.3868937,7.6334486,2.9613674,22.974144,3.4407852,16.775,16775
GA,1971,3.7528152,4.0887675,3.3853562,22.167585,1.7117174,7.5771265,587
GA,1972,3.601213,3.857574,3.2991333,21.571344,1.633461,6.6800604,532
GA,1973,3.4532938,3.6999881,3.1475265,20.616554,1.5855974,5.9682755,523
GA,1974,3.2685294,3.5285459,2.9476986,19.135685,1.5267702,5.1250515,500
GA,1975,3.1643324,3.4221287,2.831568,17.913399,1.5301776,4.6329942,510
GA,1976,2.8781247,3.3617563,2.2938204,14.594139,1.5881885,3.8133469,456
GA,1977,2.9333038,3.4629581,2.2965498,14.690455,1.6307068,3.8635631,478
GA,1978,3.0215878,3.5690222,2.3333163,15.61023,1.6494936,4.2815251,511
GA,1979,3.0963929,3.7323608,2.3333428,15.505594,1.7258987,4.3871374,558
GA,1980,3.1095243,3.8108795,2.2586713,15.88107,1.6908319,4.6873784,602
GA,1981,3.1588724,3.7887428,2.3270802,16.165686,1.7184322,4.8977108,644
GA,1982,2.8006752,3.5687525,1.9102232,15.403416,1.420704,4.4337606,664
GA,1983,2.8330514,3.5090764,2.0156152,15.25221,1.4553206,4.4252353,686
GA,1984,2.8841286,3.5726476,2.0113697,15.593299,1.4891322,4.4749556,704
GA,1985,2.9540186,3.6725912,2.0145214,15.822404,1.5382606,4.7540483,778
GA,1986,2.91011,3.7091572,1.8984888,15.657258,1.5030047,4.8907151,857
GA,1987,2.9112933,3.7241166,1.8583065,15.674298,1.5081545,4.9604988,923
GA,1988,3.1014812,3.8578687,2.0390301,16.100687,1.6651558,5.3105359,997
GA,1989,2.8702068,3.6525686,1.7768288,15.621096,1.4693705,5.0361795,1044
GA,1990,2.8364794,3.6400833,1.7651402,15.38527,1.4597,4.8601742,1081
GA,1991,2.8399661,3.6770697,1.764884,15.258426,1.4864811,4.7268863,1112
GA,1992,2.8112905,3.6632071,1.7427812,14.891604,1.4712733,4.676259,1183
GA,1993,2.7345386,3.6713572,1.665117,14.4735,1.4369597,4.5569348,1281
GA,1994,2.7500026,3.7647803,1.7024935,13.908739,1.5323421,4.3367577,1448
GA,1995,2.9787908,3.9947789,1.8679689,14.482828,1.7286427,4.8630533,1669
GA,1996,3.2090986,4.2126646,2.0232785,14.975459,1.9159859,5.4450946,1917
GA,1997,3.4001093,4.4314046,2.0511632,15.609563,2.0741539,6.1742582,2257
GA,1998,3.5883703,4.6807947,2.1438968,15.791592,2.2459815,6.5199637,2554
GA,1999,3.6725361,4.8288493,2.1633489,16.148039,2.3098996,7.068388,2956
GA,2000,3.8759387,5.14358,2.3121321,16.466545,2.4896133,7.6961422,3397
GA,2001,4.0572648,5.3976693,2.4006124,16.959499,2.6446388,8.4272337,3889
GA,2002,4.2333937,5.6551623,2.4227498,17.578369,2.7741339,9.5186729,4501
GA,2003,4.4531054,5.9400096,2.433991,18.338211,2.9228342,10.814532,5105
GA,2004,4.5463037,6.1104636,2.3393607,18.923546,2.9624825,11.846228,5710
GA,2005,4.6123519,6.2731962,2.2612381,19.402018,2.9866872,12.380683,6122
GA,2006,4.4707651,6.3023033,2.0899477,19.446449,2.8250065,12.446853,6616
GA,2007,4.4767342,6.3497419,2.0867331,19.6618,2.7926397,12.910439,7101
GA,2008,4.7337008,6.5773735,2.25143,20.588184,2.9948328,13.995753,7447
GA,2009,4.6386404,6.5048156,2.070467,19.9953,2.9494393,14.513614,7815
GA,2010,4.7516594,6.5886221,2.1097422,20.550388,3.0115182,14.999907,7981
GA,2011,4.7301364,6.5723433,2.0364151,20.888561,2.9499078,15.100069,8005
GA,2012,4.7751751,6.6370969,2.0941901,21.30682,2.9748459,14.952876,8123
GA,2013,4.989367,6.7754679,2.1981757,22.004389,3.1088192,15.534365,8243
GA,2014,5.1673999,6.9721766,2.2521238,22.687065,3.2216802,16.105291,8425
IA,2006,2.9706438,5.8576279,1.5187128,15.278997,1.6219357,6.9271579,679
IA,2007,3.2084019,6.142776,1.6904474,16.011871,1.7978503,7.8295856,759
IA,2008,3.3561087,6.3899193,1.7925069,16.599043,1.8865291,8.2532797,799
IA,2009,3.5863354,6.7430553,1.8930746,17.57935,2.0373745,9.3250732,858
IA,2010,3.5526938,6.7938108,1.8205612,17.936752,1.9718293,9.3766098,910
IA,2011,3.6845727,6.9322519,1.8308876,18.640295,2.0345576,10.141179,941
IA,2012,3.7304997,6.9259863,1.7443522,19.444836,2.0081663,10.854192,967
IA,2013,3.7636862,7.0304475,1.722295,20.1374,1.9593801,11.296402,989
IA,2014,3.8548546,7.1660066,1.6858932,20.582298,2.0070555,11.585162,1040
IL,1989,2.469763,3.7210178,1.1224579,10.562551,1.5793319,4.0494804,1005
IL,1990,2.4321539,3.7685103,1.114941,10.851307,1.5132653,4.5244293,1252
IL,1991,2.5005784,3.8024127,1.1992782,11.20954,1.5445958,5.0379643,1473
IL,1992,2.4657092,3.7767105,1.1850508,11.311367,1.4922165,5.2842474,1688
IL,1993,2.4816186,3.8570099,1.2003059,11.390931,1.4957684,5.4883828,1911
IL,1994,2.5606668,3.9890668,1.247665,11.681669,1.5476187,5.6053991,2068
IL,1995,2.6801212,4.1975679,1.3022281,12.106622,1.6434509,5.8863702,2241
IL,1996,2.7774098,4.4159417,1.3412699,12.500327,1.7149472,6.1374502,2413
IL,1997,2.8141396,4.5645008,1.3475997,12.688595,1.7241162,6.1474023,2539
IL,1998,2.8413599,4.644505,1.3634113,12.840287,1.7326896,6.205267,2705
IL,1999,2.9387054,4.8349733,1.4103245,13.242066,1.8096672,6.5439215,2950
IL,2000,3.0485547,5.101655,1.4330214,13.720953,1.887367,7.0362659,3211
IL,2001,3.1603003,5.3744178,1.4237878,14.169564,1.9389951,7.7096949,3445
IL,2002,3.2964451,5.586648,1.4110138,14.910048,2.0182252,8.7454863,3754
IL,2003,3.343925,5.6895733,1.3778013,15.357221,2.0233319,9.394371,4092
IL,2004,3.3631034,5.8123446,1.3296382,15.727079,2.0074503,9.8811197,4372
IL,2005,3.4025784,5.8940191,1.3099703,16.093889,1.9958713,10.372736,4678
IL,2006,3.4782045,6.0568223,1.324905,16.581663,2.0334048,10.812423,4895
IL,2007,3.5673189,6.2284431,1.3478303,17.074444,2.0754805,11.34791,5133
IL,2008,3.6563385,6.3254495,1.3755505,17.587975,2.1263528,11.985669,5453
IL,2009,3.7816813,6.51438,1.4098442,18.132763,2.1996586,12.523799,5657
IL,2010,3.7226729,6.5491438,1.4200706,18.179459,2.1168427,12.007936,5811
IL,2011,3.8943815,6.752255,1.548159,18.743576,2.2610929,12.307469,5953
IL,2012,3.9566824,6.8569078,1.5684226,19.107716,2.2808368,12.50332,6119
IL,2013,4.0777798,6.9685106,1.5975302,19.733122,2.3587756,12.973129,6286
IN,2002,3.3008275,4.7357635,2.3062565,14.215184,2.099726,7.9789271,1666
IN,2003,3.1789241,4.7896471,2.1530008,13.932446,1.9904443,7.4540005,1665
IN,2004,3.2238138,4.8777332,2.1752622,14.036669,2.0318992,7.2856956,1665
IN,2005,3.189266,4.9846725,2.0925927,13.950954,2.0000377,7.4097371,1767
IN,2006,3.1560402,4.9595175,2.0661547,13.925987,1.9639984,7.3830113,1827
IN,2007,3.0783215,4.8923326,1.9841882,13.744491,1.8961474,7.2681608,1910
IN,2008,3.1243007,4.9987745,2.0093291,13.885675,1.9331005,7.6009154,2060
IN,2009,3.1519237,5.0456414,2.0265837,13.995921,1.9561533,8.0060587,2220
IN,2010,3.2266712,5.230762,2.0490382,14.29678,2.0192246,8.3863039,2322
IN,2011,3.2912996,5.3572826,2.0893941,14.467268,2.050262,9.3646555,2631
IN,2012,3.4446385,5.4869986,2.1967468,14.991262,2.1743665,10.152559,2815
IN,2013,3.4825747,5.6308613,2.2004228,15.254163,2.1872466,10.414475,2970
IN,2014,3.6800554,5.878057,2.339395,15.745762,2.3500307,11.033912,3065
KS,2011,4.4202867,6.2662754,1.5951719,19.633434,2.7471657,14.204739,1253
KS,2012,4.5234632,6.4075356,1.6958115,20.147114,2.8123198,14.380869,1317
KS,2013,4.569108,6.4742327,1.7370862,20.385691,2.8215125,14.032276,1313
KS,2014,4.6629076,6.6418438,1.7728647,20.734388,2.8780406,14.16595,1318
KY,2000,2.7540817,4.2664967,1.7132638,11.9365,1.7535603,5.6819654,879
KY,2001,2.7338388,4.4259796,1.6300815,12.179935,1.6996282,5.8746328,940
KY,2002,2.6828532,4.379087,1.541909,12.413613,1.6197622,5.8971529,961
KY,2003,2.6302986,4.4708934,1.4493906,12.565491,1.5340559,6.005362,1008
KY,2004,2.555069,4.5521159,1.3898562,12.543232,1.4462101,5.8184977,1072
KY,2005,2.5159142,4.5982704,1.3426013,12.720332,1.39209,5.9224105,1148
KY,2006,2.5495341,4.7265239,1.3360627,12.977903,1.3991598,6.1933236,1243
KY,2007,2.424216,4.6843753,1.2570722,12.333558,1.3343561,5.416069,1208
KY,2008,2.6442318,4.8691349,1.3894765,12.980409,1.5178639,5.8061533,1255
KY,2009,2.7113683,5.0773277,1.4079978,13.182136,1.5708398,5.8558559,1274
KY,2010,2.832427,5.3298454,1.4124941,13.700158,1.636924,6.1624246,1271
KY,2011,2.7847097,5.3852029,1.3759168,13.73167,1.5882777,5.9861751,1299
KY,2012,2.828876,5.4887853,1.4400477,13.848516,1.6104736,6.1666884,1411
KY,2013,3.0009353,5.6874871,1.4410119,14.795862,1.6921765,7.2663708,1538
KY,2014,3.057863,5.9080858,1.4276825,15.250159,1.715181,7.7072201,1630
MA,2010,5.135232,7.1109185,2.2959275,22.527447,3.2063782,15.81658,1597
MA,2011,5.2404628,7.1318717,2.4540033,22.929768,3.2875731,15.651579,1601
MA,2012,5.58285,7.4134021,2.5649931,24.198063,3.5502746,16.740936,1653
MA,2013,5.8730197,7.7231374,2.5454886,25.261662,3.7260623,17.919441,1695
MA,2014,6.0687718,7.90769,2.5357583,26.127577,3.8458965,18.538113,1717
MD,2000,4.5928364,6.5983653,2.1766887,18.770691,3.0253687,13.895428,3128
MD,2001,4.6081924,6.67098,2.0393364,19.295286,2.9807951,14.48634,3208
MD,2002,4.622148,6.7265348,1.9863783,19.73004,2.9542675,14.713205,3309
MD,2003,4.7592902,6.8785462,1.9958497,20.377438,3.0355642,15.404699,3422
MD,2004,4.8293705,7.0081749,1.9410366,20.901278,3.0527074,15.699286,3454
MD,2005,4.9302645,7.086318,1.9051825,21.487261,3.0932274,16.152149,3516
MD,2006,4.9536357,7.1203895,1.8592824,22.007307,3.0767646,16.359854,3617
MD,2007,4.9010186,7.0396466,1.8154745,22.287449,2.9710789,16.014938,3645
MD,2008,5.0103865,7.0583429,1.8456047,22.857542,3.0347447,16.306839,3701
MD,2009,5.2707105,7.2219706,2.0186484,23.707174,3.2355163,17.095064,3771
MD,2010,5.3040657,7.1950502,2.0071142,24.215563,3.2161384,17.0924,3794
MD,2011,5.3312817,7.1666112,2.1019447,24.534924,3.210036,16.700352,3801
MD,2012,5.642313,7.5891333,2.3629282,25.445576,3.4524028,17.739042,3857
ME,2012,3.2690837,4.8577409,1.5578729,16.695272,1.7913586,8.8951845,157
ME,2013,3.2526743,4.8979311,1.5864902,16.530764,1.7808105,8.492569,160
ME,2014,3.2911453,4.9486427,1.6610286,16.693684,1.8172481,8.2648869,161
MI,1989,2.4574115,3.6053534,1.3254565,9.9928255,1.6351705,3.5426471,1099
MI,1990,2.6012733,3.7806902,1.4334528,10.410036,1.7576524,3.7639997,1267
MI,1991,2.7607908,3.9329743,1.552846,10.819724,1.884095,4.0898714,1469
MI,1992,2.9655573,4.1641541,1.691218,11.361317,2.0512013,4.5219841,1734
MI,1993,3.2851744,4.4476533,1.8837156,12.154763,2.3202457,5.3572359,2065
MI,1994,3.5584993,4.7473917,2.0368805,12.778672,2.5495903,6.2587729,2497
MI,1995,3.8703701,5.0868921,2.2033291,13.556314,2.8156283,7.5510406,3055
MI,1996,4.0322013,5.3643012,2.223737,14.138936,2.9209392,8.6448593,3626
MI,1997,4.1753345,5.6161399,2.2808361,14.6668,3.0226784,9.5968294,4287
MI,1998,4.3772826,5.8885617,2.3557408,15.375143,3.1762733,10.751962,4933
MI,1999,4.6159744,6.2026534,2.4809608,16.059639,3.3617332,12.580535,5897
MI,2000,4.795197,6.4505906,2.6077225,16.636209,3.4851277,14.159766,6874
MI,2001,4.9402823,6.672328,2.6215148,17.296598,3.5730731,15.710362,7839
MI,2002,5.0364428,6.8941879,2.5830705,17.967936,3.616117,16.974609,8691
MI,2003,5.2796402,7.1590395,2.583123,18.849049,3.7868214,18.406158,9204
MI,2004,5.454742,7.4146075,2.5537896,19.67588,3.8992004,19.317356,9559
MI,2005,5.6025414,7.6291232,2.5827003,20.349686,3.9806893,19.848122,9932
MI,2006,5.6471057,7.7750654,2.5485761,20.862698,3.9663324,19.862421,10337
MI,2007,5.8785896,7.9920101,2.6350369,21.65597,4.1275072,20.704012,10493
MI,2008,6.1528225,8.2734404,2.7708666,22.558372,4.3443923,21.483507,10531
MI,2009,6.2587872,8.4061775,2.8133581,23.390224,4.3756576,21.498356,9814
MI,2010,6.2155819,8.4709997,2.7777116,23.989223,4.2528539,21.333334,9456
MI,2011,6.40201,8.638628,2.8962467,24.762743,4.366137,21.824512,9402
MI,2012,6.4445758,8.7794027,2.8911026,25.355627,4.3543768,21.908411,9549
MI,2013,6.5411158,8.8809719,2.9373534,25.971994,4.3855119,22.320871,9654
MN,1994,3.0805295,2.6827724,1.127269,18.68042,1.3908689,3.7500002,165
MN,1995,3.0934596,2.7529218,1.0950907,18.498327,1.3938968,3.7727573,172
MN,1996,3.1224108,2.9057388,1.1015568,18.294285,1.4505788,3.8254757,185
MN,1997,2.4015102,3.1886253,1.1566416,10.112297,1.569054,3.5061305,163
MN,1998,3.1399124,3.6499629,1.6252526,12.023811,2.1571143,5.4935107,182
MN,1999,2.3612731,3.1952202,1.140983,10.19926,1.5128614,3.5014243,209
MN,2000,2.4709508,3.3611808,1.2221493,10.554509,1.5900316,3.9663267,245
MN,2001,2.5173244,3.4991989,1.2655787,10.992433,1.6105865,4.0583196,270
MN,2002,2.4949427,3.6198056,1.2551227,11.120509,1.5534618,4.410944,316
MN,2003,2.5291235,3.6901414,1.3374503,11.355757,1.5546387,4.5015659,345
MN,2004,2.5604341,3.791872,1.3853134,11.701444,1.54931,5.2239714,428
MN,2005,2.6773322,3.8884799,1.490981,12.293892,1.6272407,6.0087399,495
MN,2006,2.89903,4.1165571,1.56433,13.206474,1.7659312,7.2674804,554
MN,2007,3.5729296,4.6636147,1.8501242,15.129638,2.2939961,10.015462,583
MN,2008,2.8906665,4.1853642,1.5577132,13.503441,1.7145475,7.274087,681
MN,2009,2.8697062,4.2078705,1.5011021,13.820665,1.663582,7.3308082,716
MN,2010,2.9514747,4.3540049,1.4837945,14.381773,1.6931294,7.7720208,750
MN,2011,2.9858716,4.4216323,1.4579964,14.780406,1.6784099,8.0668755,772
MN,2012,3.0399358,4.5622773,1.4546353,15.186584,1.6975652,7.9839287,775
MN,2013,3.1014972,4.5279312,1.527333,15.465151,1.7297777,8.296854,815
MN,2014,2.9665353,4.3058081,1.3833584,15.672276,1.5585978,8.0418472,761
MO,2000,3.4720523,5.4036531,1.8175128,14.26111,2.273824,8.6643143,2284
MO,2001,3.3004823,5.3262458,1.620478,13.809405,2.1357191,8.1397781,2334
MO,2002,3.3668318,5.4120765,1.6200815,14.230857,2.1678677,8.7064009,2606
MO,2003,3.4786832,5.6036224,1.6495157,14.792324,2.2355728,9.6107178,2891
MO,2004,3.4814134,5.7257242,1.5846395,15.197183,2.1935632,10.185635,3144
MO,2005,3.5358829,5.7913089,1.5744563,15.671704,2.2032869,10.745481,3383
MO,2006,3.6951752,5.938695,1.6373615,16.313269,2.3063037,11.49809,3582
MO,2007,3.8349426,6.1889629,1.6591991,16.992189,2.3873293,12.210635,3782
MO,2008,3.916738,6.1966987,1.7153465,17.43758,2.4144223,12.535713,3861
MO,2009,4.0246458,6.2526927,1.7750658,18.004951,2.4876678,12.785907,3941
MO,2010,4.1318026,6.3769341,1.8281684,18.461475,2.5419147,13.088664,4030
MO,2011,4.2503757,6.5852976,1.8569808,19.02895,2.6152136,13.752951,4252
MO,2012,4.2924771,6.7079072,1.8650194,19.411364,2.6163602,14.066447,4399
MO,2013,4.2964311,6.8234825,1.8421485,19.790754,2.5945971,14.007486,4416
MO,2014,4.3238654,6.9072566,1.892539,20.165962,2.577318,14.01489,4443
MS,2004,3.6384447,5.8366046,2.0930109,14.735496,2.4239402,8.0941563,1568
MS,2005,3.7637398,6.0111804,2.1393523,15.221981,2.5047064,8.723772,1713
MS,2006,3.6935167,6.0037785,2.0834453,15.344051,2.4131906,9.1396818,1908
MS,2007,3.7790017,6.0963283,2.1577489,15.696361,2.4597347,9.9667931,2131
MS,2008,3.7796371,6.0222321,2.1450009,16.009581,2.4285216,10.312941,2264
MS,2009,3.8063612,6.0106406,1.9559855,16.67647,2.3943939,10.699183,2277
MS,2010,3.9673767,6.2501554,1.9584584,17.336445,2.495312,11.35148,2377
MS,2011,4.0465298,6.4723682,1.9487315,17.701435,2.5431001,11.573551,2461
MS,2012,4.0530467,6.6309381,1.8953512,17.802185,2.5310943,11.522315,2525
MS,2013,4.3468056,6.9804912,2.0335701,18.656691,2.7632377,12.470874,2676
MS,2014,5.0457892,7.3026438,2.2863076,20.433298,3.344837,15.480642,2815
MT,2010,3.2779388,4.5019836,1.8615745,13.589167,2.1450396,10.181087,253
MT,2011,3.3600016,4.5506473,1.9274899,14.302587,2.1478999,10.328453,261
MT,2012,3.6087561,4.8546748,2.0954533,15.129263,2.3321733,10.993485,270
MT,2013,3.6005745,4.8738165,2.0247798,15.823092,2.2522216,10.941272,272
MT,2014,3.5811369,4.8754015,2.0290754,16.152767,2.1867385,10.655091,270
NC,1999,4.144114,5.1378031,3.0013702,15.441994,2.9106443,9.1571798,2550
NC,2000,4.1715331,5.2768517,2.8635523,15.887679,2.8758795,10.071737,2822
NC,2001,4.2175422,5.3840342,2.7957287,16.391216,2.8926971,11.136499,3168
NC,2002,4.2667193,5.5301948,2.7500024,16.735746,2.9026864,12.151267,3602
NC,2003,4.3601995,5.7154088,2.7449291,17.113443,2.963773,13.182948,3974
NC,2004,4.3398395,5.7872677,2.6898685,17.396664,2.9173043,13.453669,4241
NC,2005,4.3911018,5.9287314,2.6722267,17.575624,2.9270146,13.445352,4329
NC,2006,4.4186788,6.0377998,2.6366215,17.88456,2.9362879,13.102405,4331
NC,2007,4.4730463,6.1852198,2.6453738,18.10606,2.9667172,13.241726,4481
NC,2008,4.4358344,6.2218666,2.5997584,18.212103,2.9098382,13.104568,4598
NC,2009,4.4889479,6.3013687,2.6422019,18.449276,2.9486148,13.275775,4736
NC,2010,4.5991921,6.4547849,2.6868472,18.896254,3.0292621,13.808216,4978
