step,time,count
7,0.0,0
7,0.1,2
7,0.2,3
7,0.3,4
7,0.4,5
7,0.5,5
7,0.6,6
7,0.7,6
7,0.8,7
7,0.9,7
7,1.0,7
7,1.1,7
7,1.2,7
7,1.3,7
7,1.4,8
7,1.5,8
7,1.6,9
7,1.7,9
7,1.8,11
7,1.9,10
7,2.0,10
7,2.1,9
7,2.2,10
7,2.3,10
7,2.4,11
7,2.5,11
7,2.6,11
7,2.7,10
7,2.8,10
7,2.9,10
7,3.0,10
7,3.1,10
7,3.2,10
7,3.3,11
7,3.4,11
7,3.5,11
7,3.6,12
7,3.7,12
7,3.8,12
7,3.9,12
7,4.0,13
7,4.1,12
7,4.2,14
7,4.3,14
7,4.4,14
7,4.5,14
7,4.6,16
7,4.7,15
7,4.8,15
7,4.9,15
7,5.0,16
7,5.1,15
7,5.2,15
7,5.3,17
7,5.4,17
7,5.5,17
7,5.6,17
7,5.7,17
7,5.8,16
7,5.9,16
7,6.0,16
7,6.1,17
7,6.2,18
7,6.3,18
7,6.4,18
7,6.5,18
7,6.6,17
7,6.7,17
7,6.8,17
7,6.9,17
7,7.0,18
7,7.1,18
7,7.2,18
7,7.3,19
7,7.4,18
7,7.5,18
7,7.6,18
7,7.7,18
7,7.8,17
7,7.9,19
7,8.0,19
7,8.1,20
7,8.2,20
7,8.3,20
7,8.4,20
7,8.5,21
7,8.6,20
7,8.7,21
7,8.8,21
7,8.9,20
6,0.0,0
6,0.1,0
6,0.2,0
6,0.3,1
6,0.4,2
6,0.5,3
6,0.6,4
6,0.7,5
6,0.8,5
6,0.9,6
6,1.0,6
6,1.1,6
6,1.2,7
6,1.3,8
6,1.4,7
6,1.5,7
6,1.6,8
6,1.7,7
6,1.8,8
6,1.9,8
6,2.0,8
6,2.1,9
6,2.2,9
6,2.3,9
6,2.4,10
6,2.5,9
6,2.6,9
6,2.7,9
6,2.8,10
6,2.9,10
6,3.0,10
6,3.1,10
6,3.2,9
6,3.3,10
6,3.4,9
6,3.5,10
6,3.6,9
6,3.7,10
6,3.8,10
6,3.9,11
6,4.0,12
6,4.1,12
6,4.2,13
6,4.3,12
6,4.4,13
6,4.5,13
6,4.6,13
6,4.7,13
6,4.8,14
6,4.9,13
6,5.0,14
6,5.1,15
6,5.2,15
6,5.3,17
6,5.4,17
6,5.5,17
6,5.6,17
6,5.7,18
6,5.8,18
6,5.9,18
6,6.0,17
6,6.1,17
6,6.2,17
6,6.3,15
6,6.4,15
6,6.5,16
6,6.6,17
6,6.7,17
6,6.8,17
6,6.9,17
6,7.0,17
6,7.1,17
6,7.2,16
6,7.3,17
6,7.4,16
6,7.5,17
6,7.6,16
6,7.7,16
5,0.0,0
5,0.1,2
5,0.2,4
5,0.3,6
5,0.4,8
5,0.5,10
5,0.6,11
5,0.7,14
5,0.8,15
5,0.9,17
5,1.0,18
5,1.1,19
5,1.2,20
5,1.3,19
5,1.4,20
5,1.5,20
5,1.6,21
5,1.7,20
5,1.8,22
5,1.9,21
5,2.0,21
5,2.1,22
5,2.2,21
5,2.3,22
5,2.4,22
5,2.5,22
5,2.6,22
5,2.7,22
5,2.8,23
5,2.9,24
5,3.0,25
5,3.1,24
5,3.2,25
5,3.3,26
5,3.4,26
5,3.5,27
5,3.6,28
5,3.7,27
5,3.8,29
5,3.9,28
5,4.0,29
5,4.1,30
5,4.2,29
5,4.3,29
5,4.4,28
5,4.5,28
5,4.6,29
5,4.7,29
5,4.8,28
5,4.9,29
5,5.0,29
5,5.1,30
4,0.0,0
4,0.1,2
4,0.2,3
4,0.3,4
4,0.4,5
4,0.5,6
4,0.6,8
4,0.7,9
4,0.8,10
4,0.9,11
4,1.0,11
4,1.1,11
4,1.2,11
4,1.3,12
4,1.4,12
4,1.5,12
4,1.6,13
4,1.7,13
4,1.8,14
4,1.9,14
4,2.0,14
4,2.1,14
4,2.2,15
4,2.3,16
4,2.4,16
4,2.5,16
4,2.6,15
4,2.7,15
4,2.8,15
4,2.9,16
4,3.0,16
4,3.1,16
4,3.2,15
4,3.3,15
4,3.4,15
4,3.5,15
4,3.6,15
4,3.7,15
4,3.8,16
4,3.9,16
4,4.0,17
4,4.1,17
4,4.2,18
4,4.3,18
4,4.4,18
4,4.5,18
4,4.6,19
4,4.7,20
4,4.8,20
4,4.9,20
4,5.0,20
4,5.1,21
4,5.2,20
4,5.3,21
4,5.4,21
4,5.5,22
4,5.6,21
4,5.7,21
4,5.8,22
4,5.9,22
4,6.0,22
4,6.1,23
4,6.2,23
4,6.3,22
4,6.4,22
4,6.5,22
4,6.6,22
4,6.7,23
4,6.8,23
4,6.9,23
4,7.0,23
4,7.1,22
4,7.2,22
4,7.3,23
4,7.4,22
4,7.5,23
4,7.6,23
4,7.7,23
