state,year,pctblackprisonpop,pctblacktop10,numinchalflife,top10pct25und,pctblack_top10_u25,pctmale_top10_u25,pctviol_top10_u25,rawpop_top10_u25,pctblkmaleu25_10plus,pct55plus_top10
AK,2013,9.4679184,9.876543,11,18.106997,0.045454547,1,0.93181819,44,0.020648967,0.34979424
AL,2014,58.678482,67.299812,577,41.005585,0.77384198,0.99545866,0.93642145,1101,0.28429925,0.30502793
AZ,2014,13.404657,16.423002,343,30.165691,0.21567044,0.9701131,0.85218096,1238,0.066822976,0.2638889
CA,2014,28.863997,38.845951,5507,44.451115,0.41255909,0.97974342,0.97974002,5924,0.12998433,0.3778328
CO,2014,18.568636,25.350649,262,31.064936,0.29431438,0.9749164,0.9498328,598,0.082180955,0.35584417
DC,2013,96.531143,97.647057,40,26.078432,0.97744364,0.94736844,0.92481202,133,0.23863636,0.2254902
DE,2014,56.663837,63.675213,55,14.743589,0.68115944,0.98550725,0.89552242,69,0.13305898,0.44230768
FL,2014,47.828999,55.093845,2894,38.693165,0.64046693,0.9828794,0.90609598,3855,0.21729279,0.37387025
GA,2014,61.444794,67.336014,1250,40.734367,0.76760566,0.97042251,0.95399064,2130,0.29139465,0.33581948
IA,2014,25.866102,25.531916,216,36.506161,0.31595093,0.95398772,0.91104293,326,0.099038459,0.34490481
IL,2013,58.024105,64.664162,860,45.49437,0.67629528,0.97524071,0.93351674,2181,0.28396437,0.2428035
IN,2014,33.774929,48.042061,102,27.374908,0.61986756,0.97615892,0.82251656,755,0.16378467,0.24981871
KS,2014,31.190886,42.258064,196,38.60215,0.52924794,0.97214484,0.99164343,359,0.19575115,0.33978495
KY,2014,22.904156,29.694948,179,27.35939,0.38850173,0.9738676,0.90766549,574,0.099386506,0.2597712
MA,2014,30.932844,33.116882,358,36.255413,0.41791046,0.99402988,0.97910446,335,0.13220733,0.51948053
MD,2012,71.31031,77.136261,999,52.748268,0.82311732,0.98949212,0.99036777,1142,0.40549651,0.33810624
ME,2014,8.2135525,4.6632123,20,24.352331,0.063829787,0.97872341,0.89361703,47,0.018633541,0.32642487
MI,2013,53.131718,64.019447,2096,47.487843,0.70502192,0.98391026,0.94780487,2051,0.29252124,0.42324612
MN,2014,34.323154,38.877117,77,38.135593,0.43055555,0.97222221,0.91944444,360,0.15900132,0.22245763
MO,2014,36.259541,52.858959,575,35.673443,0.6277827,0.97328585,0.86553872,1123,0.21269412,0.31575602
MS,2014,67.042458,75.96685,352,39.11602,0.83757061,0.98022598,0.970339,708,0.30550623,0.29889503
MT,2014,2.7624309,2.7667985,9,14.624506,0.027027028,1,0.94594592,37,0.003703704,0.43083003
NC,2014,54.186623,60.675751,789,37.961384,0.72625279,0.98578906,0.89154822,1337,0.24188034,0.31601363
ND,2014,6.8598461,4.7337279,5,26.627218,0.044444446,0.95555556,0.80000001,45,0,0.24260356
NE,2014,26.626888,31.52985,99,37.5,0.39800996,0.97512436,0.91044778,201,0.14694656,0.33955225
NH,2014,6.5416985,5.3639846,23,16.475096,0.069767445,0.97674417,0.86046511,43,0.009966778,0.50574714
NJ,2013,61.009422,67.183937,438,40.255592,0.71541953,0.97845805,0.92849034,882,0.26879627,0.2428115
NM,2014,8.1494303,10.869565,68,31.884058,0.077272728,0.96363634,0.98636365,220,0.02425107,0.27391306
NV,2014,29.022509,26.215139,176,29.721115,0.3297587,0.98123324,0.96782839,373,0.10022271,0.37211156
NY,2014,53.859528,58.24942,1322,39.078236,0.6075322,0.98810703,0.96283448,2018,0.21646136,0.30848178
OH,2013,45.728725,48.854645,1181,40.066639,0.60498959,0.97453225,0.95634097,1924,0.22725275,0.34798002
OK,2014,26.364286,32.362461,743,39.626034,0.42014518,0.96733212,0.89292198,1102,0.14921875,0.36249101
OR,2013,9.5025043,11.401744,147,26.894701,0.13715711,0.98503739,0.92269325,401,0.034188036,0.32260227
PA,2014,48.920891,60.358891,1411,36.317291,0.69006175,0.97810221,0.96294218,1781,0.23375098,0.41904569
RI,2014,29.789185,28.372093,16,24.651163,0.35849056,1,0.98113209,53,0.089430891,0.31162789
SC,2014,63.292103,67.065582,586,41.503113,0.73702425,0.96424454,0.88119954,867,0.28402659,0.34849212
SD,2012,6.3170094,5.5072465,0,24.637682,0.035294119,0.95238096,0.72941178,85,0,0.14705883
TN,2014,42.686588,49.595337,546,40.142441,0.61854839,0.96048385,0.89596772,1240,0.2228431,0.27269781
TX,2014,34.511208,42.192951,2565,39.736561,0.48665115,0.97473574,0.94535029,5581,0.16360074,0.29186842
United States,,40.793045,47.919682,27937,38.736137,0.56054646,0.97760683,0.93663776,45238,0.19790524,0.32880855
UT,2014,6.3459568,6.6079297,0,23.054333,0.082802549,0.99363059,0.90445858,157,0.015748031,0.21029411
WA,2014,18.199989,24.827587,275,37.413792,0.27649769,0.96620584,0.95545316,651,0.096017696,0.31034482
WI,2014,40.944309,48.956444,432,43.557167,0.59479165,0.98229164,0.95724714,960,0.23801321,0.27313974
WV,2014,10.46295,9.3525181,100,23.165468,0.13664596,0.97515529,0.97515529,161,0.0349162,0.41294965
WY,2014,5.0212765,3.0042918,37,28.32618,0,0.9848485,0.90909094,66,0,0.36909872
